Original Tweets
~~~~~~~~~~~~~~~
H---UniqueAfrika (Wed, 19 May 2010 23:35:51 +0000):	Omg usually I hate my job but for some odd reason I'm having a blast. #whosmad lmaoooo
lele647 (Fri, 18 Jun 2010 05:39:11 +0000):	@DavidKirlew @sandanyi I have been trying 15 minutes to find directions to my kids graduation, LOL try google maps now
lele647 (Fri, 18 Jun 2010 05:39:41 +0000):	@sandanyi luv ya hunny bunch!!! hope you are having a good morning
lele647 (Fri, 18 Jun 2010 05:42:50 +0000):	@sandanyi thanks darling just hit another brick wall with directions HUGS\
lele647 (Fri, 18 Jun 2010 06:06:24 +0000):	@sandanyi google maps rule!!!! It worked hunny XOXOXOXO
lele647 (Fri, 18 Jun 2010 07:19:12 +0000):	@whatchawearing LMAO going to bed love, CYT watch out for those lights, yes i am still LMAO
lele647 (Fri, 18 Jun 2010 07:21:50 +0000):	breaking an addiction to a so called friend sucks, fuck you! you know who you are
lele647 (Fri, 18 Jun 2010 07:22:47 +0000):	@whatchawearing ha still passing on this end, LOL
lele647 (Fri, 18 Jun 2010 07:23:47 +0000):	@Gr8spiritwolf how are ya babe, about to hit the sheets
lele647 (Fri, 18 Jun 2010 07:26:29 +0000):	@Gr8spiritwolf CYL hunny I am going too!!!
lele647 (Fri, 18 Jun 2010 07:27:08 +0000):	Good night everyone!!! luv ya!!! HUGS @whatchawearing behave, LMAO
lele647 (Fri, 18 Jun 2010 19:28:18 +0000):	RT @hoppets: #FF special darlings!! @Trazlersgal @scodal @KamiJ34 @Boddingtons @lele647 @ganjaboy74 @joeygiggles @whatchawearing
lele647 (Fri, 18 Jun 2010 19:28:53 +0000):	RT @DickAmateur: HAPPY #FF FRIENDS @yeagerhood @insanetruckdriv @Smooth187 @JustSweetAngel @mwd22 @emnorm @joeygiggles @lele647 @derestrict
lele647 (Fri, 18 Jun 2010 19:29:34 +0000):	RT @RMA_Cuch: @lele647 Good Morning Honey Bunch..Today looks like another beautiful day..((Hugs)). My kids are graduating! At 7
lele647 (Fri, 18 Jun 2010 19:30:53 +0000):	HUGGIES @M_Albee: @lele647 Edition of Big hug Cafe, get a beverage, a hug &amp; a prayer to start your day smiling. http://twitgoo.com/145hlz
lele647 (Fri, 18 Jun 2010 19:34:01 +0000):	TYVM RT @MrsDirtyMartini: #FollowFriday @lele647 @awriterchick @CrunchyVTMommy @dirtymartinigal @CocktailDeeva @Kstupples
lele647 (Fri, 18 Jun 2010 19:36:12 +0000):	#FF FAVS @explorethebruce @MrsDirtyMartini @raydawg13 @Kugey @westopher @Lauraignez @katercakes01 @kim_macgregor @CouncilmanTech
lele647 (Fri, 18 Jun 2010 19:40:52 +0000):	@gparcels HUGS G!! Getting ready for the kids graduation!! Hope you had a great day!
lele647 (Fri, 18 Jun 2010 19:42:13 +0000):	#FF FAVS @Kristen_Howe @MossAllDay @nickpol @marriamb @gparcels @RockingtheRobin @Katiemdesigns @ARTweestic @InHisLove @SherylMV
lele647 (Fri, 18 Jun 2010 19:42:44 +0000):	@InHisLove Hope you had a great day hunny!!
lele647 (Fri, 18 Jun 2010 19:46:29 +0000):	@jkheaton Hi hunny! I am very busy talking 45 minutes to dye my hair! How is your day!
lele647 (Fri, 18 Jun 2010 19:47:45 +0000):	#FF FAVS @L_I_sound @WSE123 @lowryagency @Rita420Love @DanielStoicaTax @mackDADDYmarie @ByHappyGoLicky @Zigzagpaz @Beth_RAWR
lele647 (Fri, 18 Jun 2010 19:49:52 +0000):	#FF FAVS @ImmaChocoholic @definitelydiane @hipcop @Beth_RAWR @scottydsntkno @jkheaton @lowryagency @LuisCap @camalottllc @Lovelyjo77
lele647 (Fri, 18 Jun 2010 19:51:43 +0000):	RT @clh325: #FF @ffades731 @1998kd @kellycaruso @lele647 @Brash_Angel @NickDevious @12gaBrowningGal @abinitioadinfin @michelyn73 @jillzie30
lele647 (Fri, 18 Jun 2010 19:55:36 +0000):	RT @ItsTheYoungs: #FF Luv Shouts Y'all! @FacetStudio @EnigmaRDT @edistreasures @lele647 @whyySO_serious @ladynayl504 @RivetheadRasta
lele647 (Fri, 18 Jun 2010 19:56:05 +0000):	@ellepiari about to get in the shower and get ready why cant they have this is the day????
lele647 (Fri, 18 Jun 2010 19:56:36 +0000):	RT @Shon_Jevon: @lele647 UHHH... that's me setting next to you!!! **** CHEEEZZZZ **** &gt; LOL no kidding she looked just like her!
lele647 (Fri, 18 Jun 2010 19:57:54 +0000):	#FF FAVS @PaulRadkowski @anir27 @ItsTheYoungs @ellepiari @Shon_Jevon @absoloot413 @LBGems @modlandUSA @uva98 @bradleygt89 @BriteSkySolar
lele647 (Fri, 18 Jun 2010 19:58:30 +0000):	RT @always2trill: #FF - @kushwynn @SaRennaLee @ms_busyb0dy @lele647 @dewrag1 &gt; Passing later, this is gonna suck
lele647 (Fri, 18 Jun 2010 19:58:53 +0000):	@ganjaboy74 C I am about to wash the dye out of my hair cross fingers darling
lele647 (Fri, 18 Jun 2010 20:31:21 +0000):	@DWO34 Hey D!!! Trying to stay out of jail. LOL 4 hours at this graduation is gonna kill me!
lele647 (Fri, 18 Jun 2010 20:32:18 +0000):	@dawnlambros Just dyed my hair and it came out great!!
lele647 (Fri, 18 Jun 2010 20:37:52 +0000):	#FF FAVS @always2trill @DWO34 @ms_busyb0dy @EnigmaRDT @HitsByZuk @Steviebreech @Reply_ArminWolf @dawnlambros @boldrestlessfan
lele647 (Fri, 18 Jun 2010 22:17:55 +0000):	@jillzie30 @hoppets @rma_cuch we are at the graduation. Some poor woman fell down the stairs. Starts at 7
lele647 (Fri, 18 Jun 2010 22:26:00 +0000):	@RACERJJJ hey j!! At the kids graduation!! How are ya!!!
lele647 (Fri, 18 Jun 2010 22:31:36 +0000):	@RACERJJJ cool take some pics. Good luck hunny this is gonna take 4 hours
lele647 (Fri, 18 Jun 2010 22:50:29 +0000):	@RACERJJJ I wish it was tomorrow afternoon!! These seats are killing my ass
lele647 (Fri, 18 Jun 2010 22:54:27 +0000):	@nh_lia hi beautiful I am at the kids graduation!!
lele647 (Fri, 18 Jun 2010 23:42:26 +0000):	Oh lord I am crying like a freaking baby!!! #jgf
lele647 (Sat, 19 Jun 2010 00:01:26 +0000):	@InHisLove 2 boys just graduated high school!!!
lele647 (Sat, 19 Jun 2010 07:48:44 +0000):	@MarchiP celebrating my kids braduation want a pic
lele647 (Sat, 19 Jun 2010 07:53:47 +0000):	RT @InHisLove: @lele647 congrautaltions lele tell em i said congratulations!! You all deserve it! &gt; thanks hunny tomorrow pic
lele647 (Sat, 19 Jun 2010 07:55:35 +0000):	@MarchiP i sent and posted more on FB
lele647 (Sat, 19 Jun 2010 07:56:15 +0000):	@MomsofAmerica hugs baby!!
lele647 (Sat, 19 Jun 2010 07:58:35 +0000):	@MarchiP my 2 babys 1 of my hubby
lele647 (Sat, 19 Jun 2010 08:00:23 +0000):	@joeygiggles @marchip #jgf see if this works @damiemcripps http://tweetphoto.com/27969979
lele647 (Sat, 19 Jun 2010 08:02:53 +0000):	@momsofamerics my babes graduated http://tweetphoto.com/27969979
lele647 (Sat, 19 Jun 2010 08:04:37 +0000):	@MarchiP DAMN I love you!!!! It was 2 sizes to big!!!
lele647 (Sat, 19 Jun 2010 08:05:43 +0000):	@MarchiP I love that dress hunny, thanks so much
lele647 (Sat, 19 Jun 2010 08:08:40 +0000):	@MarchiP thanks hunny!! whats up today?
lele647 (Sat, 19 Jun 2010 08:11:56 +0000):	RT @SoulKirk: Prince ~ Sexuality ♫ http://blip.fm/~sa4ms
lele647 (Sat, 19 Jun 2010 08:15:11 +0000):	@SoulKirk i love princes naughty songs baby, not sober no suggestions!! my 2 boy graduated HS tonight
lele647 (Sat, 19 Jun 2010 08:26:47 +0000):	@WatkinsLadybeth thanks hunny
lele647 (Sat, 19 Jun 2010 08:27:09 +0000):	@SoulKirk I will send you the pic
lele647 (Sat, 19 Jun 2010 08:27:55 +0000):	@SoulKirk @WatkinsLadybeth @DanielStoicaTax my babes graduated http://tweetphoto.com/27969979
lele647 (Sat, 19 Jun 2010 08:28:33 +0000):	@SoulKirk Oh no i feel 25!!!!!!!!!!!!!!!!!1 LMAO
lele647 (Sat, 19 Jun 2010 08:31:38 +0000):	@WatkinsLadybeth one but the other has to take a online course but they let him walk, cost a fortune, damn kids
lele647 (Sat, 19 Jun 2010 08:32:31 +0000):	@shanenickerson I have to order that hun
lele647 (Sat, 19 Jun 2010 08:36:40 +0000):	@WatkinsLadybeth I know i was glad!!
lele647 (Sat, 19 Jun 2010 08:37:18 +0000):	@SoulKirk thanks so much hunny i am so proud, lol shouls have never taken li=otion kleenex, LMAO
lele647 (Sat, 19 Jun 2010 08:40:54 +0000):	@ellepiari thanks hunny!! how was you day? @WatkinsLadybeth
lele647 (Sat, 19 Jun 2010 08:41:42 +0000):	@SoulKirk lotion klennex all over my glasses and in my eyes i cry like a baby LOL
lele647 (Sat, 19 Jun 2010 08:47:37 +0000):	@WatkinsLadybeth just one for real one walked and starts his summer school monday
lele647 (Sat, 19 Jun 2010 09:31:33 +0000):	Going to sleep hunny sun is coming up and birds are chirpy tOo
ComeSeeAbout_T (Wed, 19 May 2010 02:12:30 +0000):	*patiently waits* RT @myfabolouslife: Its time for a #TT ladies &amp; gentlemen Someone we've all had 2 deal with #TheUglyFriend Oh Let's Do It!
ComeSeeAbout_T (Wed, 19 May 2010 02:13:40 +0000):	@JillyBaby718 lmaoooo! My boo! Oh NO!!!!! STOP THAT this instant! I was just inquiring making conversation! lmaooo
ComeSeeAbout_T (Wed, 19 May 2010 02:15:50 +0000):	@MiS_Cali3NT3 lmaooo #youalreadyknow! ;)
ComeSeeAbout_T (Wed, 19 May 2010 02:22:38 +0000):	@JillyBaby718 whose Stanley?!
ComeSeeAbout_T (Wed, 19 May 2010 02:25:18 +0000):	Half the chicks that are gonna go IN on this #TheUglyFriend TT are the ugly friend! #imjustsayin
ComeSeeAbout_T (Wed, 19 May 2010 02:30:07 +0000):	@MiS_Cali3NT3 its going to be! Fabolous is going in on it right now!
ComeSeeAbout_T (Wed, 19 May 2010 02:34:22 +0000):	and these dudes be frontin like they don't date #TheUglyFriend
ComeSeeAbout_T (Wed, 19 May 2010 02:37:07 +0000):	@MiS_Cali3NT3 lmaooooooo! #dead at Betes! lmaoooooo ahahahahaha! you always disrespecting somebody!!
ComeSeeAbout_T (Wed, 19 May 2010 02:46:55 +0000):	@JillyBaby718 Lmaoooo! Its just some of these dudes be frontin like they dont fuck with #theuglyfriend #theybeknowin she aint got no morals
ComeSeeAbout_T (Wed, 19 May 2010 03:07:32 +0000):	Lmaoooooo RT @candiedjamz: *checks soundscan* Hmm Still can start a TT at the drop of a hat, &amp; yet the last album still isn't gold.
ComeSeeAbout_T (Wed, 19 May 2010 03:30:15 +0000):	Ughhh Orlando is killing me tonight! They finna go down 0-2
ComeSeeAbout_T (Wed, 19 May 2010 03:36:41 +0000):	@Kpersono worddd! This year has been the worst in recent memory!
ComeSeeAbout_T (Wed, 19 May 2010 03:39:40 +0000):	@MiS_Cali3NT3 lmaooooo Michelle ou frecant oui!
ComeSeeAbout_T (Wed, 19 May 2010 03:45:07 +0000):	@MiS_Cali3NT3 You stay eating breakfast for dinner what you need banane for you got sausage! Owww! ;) lmaooo
ComeSeeAbout_T (Wed, 19 May 2010 04:10:37 +0000):	@JillyBaby718 WTF?! #random you stay on your Jamaican shit! Lmaooo &amp; for what reasons will you be needing this rum?!
ComeSeeAbout_T (Wed, 19 May 2010 04:16:06 +0000):	@JillyBaby718 &amp; what will you be doing with this rum?! *side eye*
ComeSeeAbout_T (Wed, 19 May 2010 04:18:08 +0000):	@JillyBaby718 lmaooo I mean why wouldn't they, they're the ones who have her thinkin she ain't ugly! &quot;gorgeous just gorgeous&quot;
ComeSeeAbout_T (Wed, 19 May 2010 04:19:33 +0000):	@JillyBaby718 also did BWW &amp; DaiVon agree to this notion *side eye* lmaoooo! #shameless
ComeSeeAbout_T (Wed, 19 May 2010 04:33:49 +0000):	@JillyBaby718 lmaooo who said I was firing shots?!
ComeSeeAbout_T (Wed, 19 May 2010 04:45:21 +0000):	@stazzybaby just go to settings!
ComeSeeAbout_T (Wed, 19 May 2010 04:56:08 +0000):	@stazzybaby they don't have anything like account options either?!
ComeSeeAbout_T (Wed, 19 May 2010 05:47:24 +0000):	@JillyBaby718 I doubt anything with &quot;Backstroke&quot; in it qualifies as being neo-soul
ComeSeeAbout_T (Wed, 19 May 2010 20:46:56 +0000):	@JillyBaby718 care to translate for him? RT @lilduval I listened 2 that reggae song &quot;hold you&quot; a 1000 http://tl.gd/1cks40
ComeSeeAbout_T (Wed, 19 May 2010 21:03:10 +0000):	This is my favorite Everybody Hates Chris episode! I swear Rochelle is Haitian!
ComeSeeAbout_T (Wed, 19 May 2010 21:12:04 +0000):	@MiS_Cali3NT3 it's about to pour! But it's not cold!
ComeSeeAbout_T (Thu, 20 May 2010 03:36:35 +0000):	These Suns do realize there's only a minute left right?!
ComeSeeAbout_T (Thu, 20 May 2010 13:51:55 +0000):	@dangerDEExO anytime before 3! I'm only going to hand in a paper! Smh Im so over this lady!
ComeSeeAbout_T (Fri, 21 May 2010 01:34:12 +0000):	Lmaoooo RT @dangerDEExO: Why do doras parents let her go explore the world..isn't she 4. I couldn't even cross the street.
ComeSeeAbout_T (Fri, 21 May 2010 01:34:44 +0000):	@dangerDEExO I mean she got a monkey &amp; a talking backpack! Why not?!
ComeSeeAbout_T (Fri, 21 May 2010 01:41:11 +0000):	@dangerDEExO lmfaooooo! #youwillnot disrespect Dora! She's out there grinding! She got her immigration papers in that backpack!
ComeSeeAbout_T (Fri, 21 May 2010 01:44:05 +0000):	#nowplaying Lyfe Jennings - Statistics &quot;Be the person you want to find. Don't be a nickel out here looking for a DIME&quot;
ComeSeeAbout_T (Fri, 21 May 2010 02:30:56 +0000):	@sarahtazzy *sings* He wasn't man enough for me!
ComeSeeAbout_T (Fri, 21 May 2010 03:28:54 +0000):	Walking around my house with index cards rapping for my Women Studies Final! Oh joy! -_-
ComeSeeAbout_T (Fri, 21 May 2010 03:30:57 +0000):	@Kpersono who says we don't have fake id's?! Lmaooo nah at least I don't. but do you know of a nice hookah bar?!
ComeSeeAbout_T (Fri, 21 May 2010 03:42:58 +0000):	@Kpersono are you now? Lmaooo I figured though you don't use words like kids from NY! I think it's that. #southernhospitality
ComeSeeAbout_T (Fri, 21 May 2010 03:50:47 +0000):	@X_SMOOCH3S what if we got Thai food &amp; then this club deity! I'm not sure if it's 21 &amp; over though?! You got any suggestions?!
ComeSeeAbout_T (Fri, 21 May 2010 03:54:40 +0000):	@UrSw33t_Tr3at yurrrp! JKnees do u have an upcoming fête for one of these weekends?!
ComeSeeAbout_T (Fri, 21 May 2010 03:56:59 +0000):	@Kpersono I see, what part if NY are you originally from?
ComeSeeAbout_T (Fri, 21 May 2010 14:24:49 +0000):	@p0pularDEMAND lol it's the best way to describe the fuxkery going on this stage. Maury meets 16 &amp; Pregnant!
ComeSeeAbout_T (Fri, 21 May 2010 15:26:51 +0000):	@JillyBaby718 you forgot about him cause BWW greasey lips are doing it for you huh?! Smh lmaoooo
ComeSeeAbout_T (Sat, 22 May 2010 02:49:01 +0000):	@BLCK_WIDOW you know what bouzen I really should be sleeping me &amp; my cousin have to take my sister to work tomorrow morning -_-
ComeSeeAbout_T (Sat, 22 May 2010 03:31:20 +0000):	@BLCK_WIDOW @MiS_Cali3NT3 the ppl downstairs are apparently throwing a fiesta! I'm convinced I hear furniture dropping!
ComeSeeAbout_T (Sun, 23 May 2010 04:30:44 +0000):	@JillyBaby718 where are you finding these wigs at?! I know you don't just buy a wig online w/o trying it on?!
ComeSeeAbout_T (Mon, 24 May 2010 00:51:04 +0000):	The ctrl atl delete function is a joke! Arghhh technology is failing me this week!!!!
ComeSeeAbout_T (Tue, 25 May 2010 02:25:47 +0000):	@JillyBaby718 I saw it! The feelings weren't mutual! Lmaoooo j/k I heart my Hunter Girlies!
ComeSeeAbout_T (Wed, 26 May 2010 03:02:35 +0000):	@X_SMOOCH3S lmaoooo! Now why would looking like a groupie make you proud?!
ComeSeeAbout_T (Wed, 26 May 2010 03:05:23 +0000):	RT @candiedjamz: Let's go Suns! Let's go! *clap clap*
ComeSeeAbout_T (Wed, 26 May 2010 03:12:44 +0000):	@candiedjamz thanks! I loveee your basketball tweets!
ComeSeeAbout_T (Wed, 26 May 2010 03:13:21 +0000):	@JillyBaby718 listening to Drake?! No?
ComeSeeAbout_T (Wed, 26 May 2010 03:24:27 +0000):	Grant Hill!!! Yesss!
ComeSeeAbout_T (Wed, 26 May 2010 03:33:56 +0000):	RT @HeyKikO: If there is any player in the league without a ring that deserves 1, it's my son Steve Nash
ComeSeeAbout_T (Wed, 26 May 2010 03:45:09 +0000):	I bet Mike D'Antoni is somewhere real salty right now!
ComeSeeAbout_T (Wed, 26 May 2010 04:47:22 +0000):	@JillyBaby718 Deuces is that Chris Brown song off his mixtape that sounds like TeAmo! Please get on a blog site!
ComeSeeAbout_T (Wed, 26 May 2010 04:53:16 +0000):	@JillyBaby718 what?!
ComeSeeAbout_T (Wed, 26 May 2010 15:44:19 +0000):	The Yo Side of the Bed video made me tear up just now! SMH Easily Trey's best video hands down!
ComeSeeAbout_T (Wed, 26 May 2010 16:40:45 +0000):	@Lena_FunStuff lmaooooo if Reggie Bush is regular please tell me where you be hanging out and see dudes that look like him?!
ComeSeeAbout_T (Wed, 26 May 2010 18:29:39 +0000):	@Lena_FunStuff Umm Lena you RT'ed me but didnt answer the question! *twiddles fingers* I'll wait!
ComeSeeAbout_T (Wed, 26 May 2010 18:35:41 +0000):	@dangerDEExO lmaoo! My sister &amp; cousin said the same thing about Rudy! I'm still waiting for them to point me in the direction to find one
ComeSeeAbout_T (Thu, 27 May 2010 00:59:22 +0000):	Finally finished my STAT paper! Woo hoo! Final tomorrow and then I'm free!
ComeSeeAbout_T (Thu, 27 May 2010 02:43:02 +0000):	A Nate Robinson sighting! #mynightiscomplete
ComeSeeAbout_T (Thu, 27 May 2010 02:56:20 +0000):	@BLCK_WIDOW yep! The Math department's finals are always LAST! My last one is tomorrow though!
ComeSeeAbout_T (Thu, 27 May 2010 03:08:21 +0000):	@JillyBaby718 did u check ur facebook! Me along with ur boo left u a message!
ComeSeeAbout_T (Thu, 27 May 2010 03:09:15 +0000):	I concur! RT @JAESONGZ: Read somethin that said.. &quot;if exes can still be friends.they r still in love or never were&quot;.. I think I agree
ComeSeeAbout_T (Thu, 27 May 2010 03:10:41 +0000):	@BLCK_WIDOW ahhh pe la!
ComeSeeAbout_T (Thu, 27 May 2010 03:16:52 +0000):	@BLCK_WIDOW I'm working on it!
ComeSeeAbout_T (Thu, 27 May 2010 03:40:40 +0000):	@BLCK_WIDOW is it still $1 on saturday?! I know it's prom season so it might be crazy expensive!
ComeSeeAbout_T (Thu, 27 May 2010 03:49:54 +0000):	@BLCK_WIDOW is @MiS_Cali3NT3 coming?
ComeSeeAbout_T (Fri, 28 May 2010 03:35:27 +0000):	Yess!!! I see you Steve!
ComeSeeAbout_T (Fri, 28 May 2010 03:38:34 +0000):	YESSSSSSSS!!!!!!!!! GET IT!!!!!!!
ComeSeeAbout_T (Fri, 28 May 2010 03:39:03 +0000):	Lakers couldnt get a rebound?! Womp Womp!
ComeSeeAbout_T (Fri, 28 May 2010 04:10:39 +0000):	The fuck does Justin Bieber know about Queensbridge -___- RT @justinbieber: QUEENSBRIDGE
ComeSeeAbout_T (Fri, 28 May 2010 04:36:52 +0000):	Lmaooo! Yes! RT @X_SMOOCH3S: WAT AN EVENTFUL REUNION !!!!!!!!!!
ComeSeeAbout_T (Fri, 28 May 2010 04:47:04 +0000):	@JAESONGZ are u coming out with us on sat?!
ComeSeeAbout_T (Fri, 28 May 2010 04:47:53 +0000):	@UrSw33t_Tr3at umm so you just gonna ignore my tweet?!
ComeSeeAbout_T (Fri, 28 May 2010 04:48:43 +0000):	@sarahtazzy lmaoooo it was an unexpected conference call! #longtimeIdontseeyoubabeeee
ComeSeeAbout_T (Fri, 28 May 2010 04:49:59 +0000):	@UrSw33t_Tr3at djenane it is damn near 1! Why would we just now be going somewhere?! Lmaoo it's Saturday!
ComeSeeAbout_T (Fri, 28 May 2010 04:57:42 +0000):	@JAESONGZ buffalo wild wings for lunch &amp; then meet up later to go to a club
ComeSeeAbout_T (Fri, 28 May 2010 04:59:32 +0000):	@UrSw33t_Tr3at it's either Webster or Deity which ever one we get into
ComeSeeAbout_T (Fri, 28 May 2010 05:00:48 +0000):	@JAESONGZ STFU! What about all those low cut tops u be wearing?!
ComeSeeAbout_T (Fri, 28 May 2010 05:03:11 +0000):	@JAESONGZ whatchu think payless is for?! Quick run for some 3inch heels!
ComeSeeAbout_T (Fri, 28 May 2010 05:05:39 +0000):	@JAESONGZ same here! I'm about to be like fuck it &amp; go bowling again!
ComeSeeAbout_T (Fri, 28 May 2010 05:24:31 +0000):	@JAESONGZ if you don't stop with these tweets! SMH! Obsessed!
ComeSeeAbout_T (Fri, 28 May 2010 05:29:10 +0000):	Stop that! You'll live &amp; so will he! Ughh enough with the mushyness!
ComeSeeAbout_T (Fri, 28 May 2010 05:30:42 +0000):	@p0pularDEMAND your buggin! Banane deuce is crack!!!
ComeSeeAbout_T (Fri, 28 May 2010 05:35:24 +0000):	@JAESONGZ what does ginuwine have to do with you being &quot;in love&quot;
ComeSeeAbout_T (Fri, 28 May 2010 05:42:18 +0000):	*blank stare* RT @X_SMOOCH3S: IM IN DA MOOD FOR SUM DIRTY FOOD
ComeSeeAbout_T (Fri, 28 May 2010 15:41:16 +0000):	@UrSw33t_Tr3at I dont even know @BLCK_WIDOW is the &quot;official&quot; event planner
ComeSeeAbout_T (Fri, 28 May 2010 22:49:12 +0000):	Gyptian Hold Yuh is not new! 106 &amp; Park stop that!!
